name,label
003_M_VideoRecall_0.wav,0
003_M_VideoRecall_1.wav,0
003_M_VideoRecall_2.wav,0
003_M_VideoRecall_3.wav,0
003_M_VideoRecall_4.wav,0
004_M_VideoRecall_0.wav,0
004_M_VideoRecall_1.wav,0
004_M_VideoRecall_2.wav,0
005_M_BadMemory_0.wav,0
005_M_BadMemory_1.wav,0
005_M_BadMemory_2.wav,0
005_M_BadMemory_3.wav,0
005_M_VideoRecall_0.wav,0
005_M_VideoRecall_1.wav,0
005_M_VideoRecall_2.wav,0
006_F_VideoRecall_0.wav,0
006_F_VideoRecall_1.wav,0
006_F_VideoRecall_2.wav,0
007_M_BadMemory_0.wav,0
007_M_BadMemory_1.wav,0
007_M_BadMemory_2.wav,0
007_M_BadMemory_3.wav,0
007_M_BadMemory_4.wav,0
007_M_BadMemory_5.wav,0
007_M_VideoRecall_0.wav,0
007_M_VideoRecall_1.wav,0
007_M_VideoRecall_2.wav,0
007_M_VideoRecall_3.wav,0
007_M_VideoRecall_4.wav,0
009_M_BadMemory_0.wav,0
009_M_BadMemory_1.wav,0
009_M_BadMemory_2.wav,0
009_M_VideoRecall_0.wav,0
009_M_VideoRecall_1.wav,0
009_M_VideoRecall_2.wav,0
009_M_VideoRecall_3.wav,0
009_M_VideoRecall_4.wav,0
009_M_VideoRecall_5.wav,0
010_M_BadMemory_0.wav,0
010_M_BadMemory_1.wav,0
010_M_BadMemory_2.wav,0
010_M_BadMemory_3.wav,0
010_M_VideoRecall_0.wav,0
010_M_VideoRecall_1.wav,0
010_M_VideoRecall_2.wav,0
010_M_VideoRecall_3.wav,0
010_M_VideoRecall_4.wav,0
011_F_VideoRecall_0.wav,0
011_F_VideoRecall_1.wav,0
011_F_VideoRecall_2.wav,0
011_F_VideoRecall_3.wav,0
011_F_VideoRecall_4.wav,0
011_F_VideoRecall_5.wav,0
012_M_VideoRecall_0.wav,0
012_M_VideoRecall_1.wav,0
012_M_VideoRecall_2.wav,0
012_M_VideoRecall_3.wav,0
012_M_VideoRecall_4.wav,0
012_M_VideoRecall_5.wav,0
014_F_BadMemory_0.wav,0
014_F_BadMemory_1.wav,0
014_F_VideoRecall_0.wav,0
014_F_VideoRecall_1.wav,0
014_F_VideoRecall_2.wav,0
014_F_VideoRecall_3.wav,0
015_M_BadMemory_0.wav,0
015_M_BadMemory_1.wav,0
015_M_BadMemory_2.wav,0
015_M_BadMemory_3.wav,0
015_M_VideoRecall_0.wav,0
015_M_VideoRecall_1.wav,0
015_M_VideoRecall_2.wav,0
015_M_VideoRecall_3.wav,0
015_M_VideoRecall_4.wav,0
016_M_BadMemory_0.wav,0
016_M_BadMemory_1.wav,0
016_M_BadMemory_2.wav,0
016_M_BadMemory_3.wav,0
016_M_BadMemory_4.wav,0
016_M_BadMemory_5.wav,0
016_M_VideoRecall_0.wav,0
016_M_VideoRecall_1.wav,0
016_M_VideoRecall_2.wav,0
016_M_VideoRecall_3.wav,0
016_M_VideoRecall_4.wav,0
017_M_BadMemory_0.wav,0
017_M_BadMemory_1.wav,0
017_M_BadMemory_2.wav,0
017_M_VideoRecall_0.wav,0
017_M_VideoRecall_1.wav,0
017_M_VideoRecall_2.wav,0
019_M_VideoRecall_0.wav,0
019_M_VideoRecall_1.wav,0
020_M_BadMemory_0.wav,0
020_M_BadMemory_1.wav,0
020_M_BadMemory_2.wav,0
020_M_BadMemory_3.wav,0
021_F_VideoRecall_0.wav,0
021_F_VideoRecall_1.wav,0
021_F_VideoRecall_2.wav,0
021_F_VideoRecall_3.wav,0
021_F_VideoRecall_4.wav,0
021_F_VideoRecall_5.wav,0
021_F_VideoRecall_6.wav,0
021_F_VideoRecall_7.wav,0
021_F_VideoRecall_8.wav,0
021_F_VideoRecall_9.wav,0
029_M_VideoRecall_0.wav,0
029_M_VideoRecall_1.wav,0
029_M_VideoRecall_2.wav,0
070_F_VideoRecall_0.wav,0
070_F_VideoRecall_1.wav,0
070_F_VideoRecall_2.wav,0
